,Age,Yearly brutto salary (without bonus and stocks) in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week"
0,26.0,80000.0,75000.0,12.967828418230564
1,26.0,80000.0,82000.0,12.967828418230564
2,29.0,120000.0,100000.0,12.967828418230564
3,28.0,54000.0,,12.967828418230564
4,37.0,62000.0,62000.0,12.967828418230564
5,32.0,76000.0,76000.0,12.967828418230564
6,37.0,57000.0,,12.967828418230564
7,24.0,65000.0,65000.0,0.0
8,29.0,56000.0,55000.0,30.0
9,35.0,95000.0,90000.0,0.0
10,32.0,52500.0,52500.0,12.967828418230564
11,32.0,100000.0,80000.0,12.967828418230564
12,32.0,90000.0,,12.967828418230564
13,34.0,70000.0,,0.0
14,28.0,75000.0,66000.0,12.967828418230564
15,31.0,75000.0,75000.0,12.967828418230564
16,29.0,60350.0,58000.0,0.0
17,41.0,78000.0,100000.0,12.967828418230564
18,27.0,60000.0,55000.0,12.967828418230564
19,34.0,80000.0,75000.0,12.967828418230564
20,34.0,103000.0,90000.0,12.967828418230564
21,34.0,100000.0,92000.0,12.967828418230564
22,25.0,65000.0,,12.967828418230564
24,36.0,70000.0,65000.0,12.967828418230564
25,38.0,80000.0,80000.0,12.967828418230564
26,24.0,75000.0,63000.0,12.967828418230564
27,37.0,47400.0,44000.0,12.967828418230564
28,32.0,67000.0,65000.0,12.967828418230564
29,40.0,70000.0,,0.0
30,29.0,85000.0,78000.0,12.967828418230564
31,31.0,65000.0,,12.967828418230564
32,29.0,45000.0,,12.967828418230564
33,39.0,80000.0,80000.0,30.0
34,27.0,63000.0,,12.967828418230564
35,33.0,150000.0,81000.0,0.0
36,28.0,45000.0,37000.0,12.967828418230564
37,30.0,80000.0,72000.0,0.0
38,28.0,75000.0,58000.0,0.0
39,38.0,70000.0,65000.0,0.0
40,29.0,72000.0,63000.0,12.967828418230564
41,49.0,67000.0,66000.0,12.967828418230564
42,32.0,105000.0,80000.0,12.967828418230564
43,33.0,88000.0,96000.0,12.967828418230564
44,30.0,74000.0,54000.0,12.967828418230564
45,48.0,75000.0,75000.0,12.967828418230564
46,28.0,60000.0,,12.967828418230564
47,32.0,77000.0,62000.0,12.967828418230564
48,38.0,70000.0,63000.0,0.0
49,31.0,76000.0,69000.0,12.967828418230564
50,35.0,75000.0,72000.0,0.0
51,28.0,45000.0,37000.0,12.967828418230564
52,29.0,60000.0,52000.0,12.967828418230564
53,32.0,65000.0,60000.0,0.0
54,44.0,68000.0,68000.0,12.967828418230564
